제목,날짜,작성자,작성일,댓글
"이재명·심상정 ""부동산 불로소득 환수""…대선 쟁점 되나?",2021-04-29 20:51:00,송*,2021-04-30 03:03:21,"간단하게 부동산 거래차액 전액 세금으로 환수.
1가구 1주택
임대주택사업 . 전부 공공기관에서 진행.
청년 임대주택 경제 요충지에 건설 임대 분양.
대기업 본사 ,공영방송국 경기권 이전. 국회의사당 지방 이전. 국가기관 지방이전
(아파트에 쏠린 건설 경기 대체) . 명목뿐인 행정수도 현실화. 제 2 세종시 건설.
온라인 행정으로 분산 문제가 없음."
[정참시] 시험대 선 오세훈…'독자 노선' 성공할까?,2021-04-13 21:02:00,16974339*,2021-04-22 20:22:09,오세훈 시장님 응원합니다.
[정참시] 시험대 선 오세훈…'독자 노선' 성공할까?,2021-04-13 21:02:00,이수*,2021-04-17 20:10:30,주식 세력 있듯이 한국에 부동산 세력이있는거 다들 아실겁니다. 오 시자은 이들의 수장을 만나봐야 할것입니다
[정참시] 시험대 선 오세훈…'독자 노선' 성공할까?,2021-04-13 21:02:00,박경*,2021-04-17 19:52:48,"서울천민들 좋아하겠네~
계속 올려라 집값. 그거 바라고 너뽑은거다"
[정참시] 시험대 선 오세훈…'독자 노선' 성공할까?,2021-04-13 21:02:00,16974339*,2021-04-22 20:15:11,문재인 정권 후 집값 상승률- 집은 34% 아파트는 50% ㄷㄷㄷ(실거래가는 74%) 노무현은 상승률리 94% ㄷㄷㄷ 진보정권이 손만되면 다 올라가네 ㄷㄷㄷ 이러는데도 누가 집값을 올린다고???
[정참시] 시험대 선 오세훈…'독자 노선' 성공할까?,2021-04-13 21:02:00,박경*,2021-04-17 19:51:14,"오세훈. 꼭 공약이행해라~
못하기만해봐라.
너보다못한사람 어디있다고 개소리냐?"
[정참시] 시험대 선 오세훈…'독자 노선' 성공할까?,2021-04-13 21:02:00,조동*,2021-04-16 20:25:45,"오세훈, 박형준 이놈들의 목적은 성공하면 내탓이고
실패하면 정부탓으로 돌리며 개수작을 부리려고 하는중!!!
현 상황에서 심각해지면 의료붕괴로 진짜 난리가 나고 이놈들은 그것을 노리는듯!!!
아무리 권력창출을 목적으로 하는 짓이라도 국민들 목숨을 가지고 장난질 하는 놈들은
바로 토착왜구놈들 말고는 없음!!!
다까끼마사오, 전대가리, 노태우, 김영삼, 이명박, 박근혜
이 인간들중 제대로 정치한 인간은 하나도 없다.
그나마 김영삼 정도인데...그마져도 IMF로 경제를 작살내고 엄청 욕먹었다.
토착왜구들은 자체가 범죄자 놈들이여!!!"
[정참시] 시험대 선 오세훈…'독자 노선' 성공할까?,2021-04-13 21:02:00,16974339*,2021-04-22 20:21:08,"노무현, 김대중, 문재인 이중에서 재대로 정치한 인물없다! 노짱은 집값올리고 경제 조지고 같은 민주당한테 자살당하고 DJ는 *쌀+철= 핵*이라는 기적의 식을 정립하셨고 재인이는....그저..... 실업자 125만명! 실업률 낯춘다고 25조 고중분해! 무리한 최저임금 상승으로 경제 조지기! 집값 54%증가(가격인상최대)! 탈원전이라는 희대의 사기극으로 여태까지 투자했전 몇십조 날리기! 그리고.... OECD 최고의 자살율! 아아아 이것이 문재인 보유국.......?"
[정참시] 시험대 선 오세훈…'독자 노선' 성공할까?,2021-04-13 21:02:00,김용*,2021-04-15 10:49:51,5세 훈 씨짱님! 적당히 하세요~!!!ㅎㅎㅎ
