제목,날짜,작성일,작성자,댓글
"김근식 ""홍준표, 사랑한다면 떠나달라…대선승리 후 모시겠다""",2021-05-12 17:04:00,2021-05-13 22:35:34,free****,미ㅊ놈. 지가뭔데 앞장서서 복당시키겠다고. 소가 웃을끼라. 뻔질나게 얼굴 디밀더만 겨우 당협장자리 하나 꿰차드니 뱃지도 못달고 나가떨어지더니만. 또 틈만나먼 낯짝내미네. 진짜 짜증나고 지겹다. 18것
"김근식 ""홍준표, 사랑한다면 떠나달라…대선승리 후 모시겠다""",2021-05-12 17:04:00,2021-05-13 22:16:48,여****,미ㅊ놈 교수라는 놈이 학생들이나 잘가르치지 뭐먹을게있다고 정치판에 기웃거리냐 꼴값을 한다
"김근식 ""홍준표, 사랑한다면 떠나달라…대선승리 후 모시겠다""",2021-05-12 17:04:00,2021-05-13 19:12:56,여****,홍준표가 복당하면 니들맘껏 좌짖못하니 겁나지 니들 100마리 흑사리껍데기 아무소용없다 홍준표 대통령된다
"김근식 ""홍준표, 사랑한다면 떠나달라…대선승리 후 모시겠다""",2021-05-12 17:04:00,2021-05-13 19:07:37,부정선거****,415선거 데이터 보고 헛소리할때부터 알아봤어요 너나 잘 하세요~~
"김근식 ""홍준표, 사랑한다면 떠나달라…대선승리 후 모시겠다""",2021-05-12 17:04:00,2021-05-14 10:28:47,노****,저자김근식은 중앙일보기자출신으로 국민의힘당 간첩입니다.20년적 행적을잘살펴보면금방인수있음 좌익적인우로서통진당이나민중당에있을법한인무노세작이라고생각한다.
"김근식 ""홍준표, 사랑한다면 떠나달라…대선승리 후 모시겠다""",2021-05-12 17:04:00,2021-05-13 17:52:09,박****,야 대통령후보에게 선거 끝나고 들어 오라고 니가 나가고 홍준표의원님 모셔라 자기 희생도 모르나?
"김근식 ""홍준표, 사랑한다면 떠나달라…대선승리 후 모시겠다""",2021-05-12 17:04:00,2021-05-13 17:34:04,부정선거****,떠나라고 하는 분과 손잡고 떠나시는걸 추천드림
"김근식 ""홍준표, 사랑한다면 떠나달라…대선승리 후 모시겠다""",2021-05-12 17:04:00,2021-05-13 17:24:44,pilg****,김 교수 말씀 맞는말씀이다 대선 끝난담에 복귀해라
"김근식 ""홍준표, 사랑한다면 떠나달라…대선승리 후 모시겠다""",2021-05-12 17:04:00,2021-05-14 10:30:25,노****,미친거아냐 김근식실체나똑바로알고말해라세작아
"유승민 ""朴탄핵 후회않는다, 지금 결정의 순간 와도 같은선택""",2021-04-30 19:04:00,2021-05-02 17:11:15,haru****,이 자슥 배떼기와 등자루에 칼침을 맞는 배신을 당해봐야 지 배신의 참상을 깨달을 듯
"유승민 ""朴탄핵 후회않는다, 지금 결정의 순간 와도 같은선택""",2021-04-30 19:04:00,2021-05-02 10:30:13,bcg7****,더불어민주당 대통령후보로 강추
