제목,날짜,작성일,작성자,댓글
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 11:14:00,정의와 공정,"아무리 정치를 모른다 해도
윤썩열과 안철수를 말하는 자들은 낫 놓고 ㄱ 자도 모르는 무뇌한 들이다.
김종인까지도 안철수를 무시한 것은 얼띠기로 평가한 것이 맞으나
윤썩열을 보고 별 어쩌고하는 짖은 노망에 따른 헛소리로 보면 딱이다.
검사는 아무리 날뛰어도 검사로 끝나는 것이 순리이며
세계 어느나라도 검사가 대선후보로 나서는 괴이한 일은 없으며
검찰개혁 반대세력의 앞잡이로 민주주의를 거부한 개검일 뿐이다.
다시는 더이상 윤썩열을 말하지 말자 ! 우리 국민수준이 이 정도 밖에 되지 않는가 ?"
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 11:29:00,박만호,@정의와 공정 김기춘.홍준표.황교안.우병우.윤석열.한동훈 다 그런 놈들이구만...
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 10:58:00,jogi****,흠... 이재명씨는 그래도 지금까지 해놓은 실적을 보면 다른 애들하고는 확실히 틀려서 기대는 되는데... 왜 자꾸 윤석열씨가 대권 주자인거마냥 언론 플레이가 나오는지 모르겠네~~~
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 10:37:00,KKD,이재명이는 문재인이나 친노보다 더 못한 인간이다!!
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 10:26:00,파랑새,"민주당이 허파에 바람이 잔뜩 들어가 있는갑다...
민주당 깃발로는 누구도 될 수 없다....
민심은 부동산 대참사로 민주당이라면 없던 경끼를 한다..,

허던 짓 계속해 봐라...
10년은 국짐이 허는 짓 봐 줄 수 있다..."
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 10:21:00,김프로,늬들은 이재명한테 안돼.. 정책으로나 진심으로나..
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 10:06:00,pppsy****,"참 애쓴다..

안쓰러워. 함량 미달이라는 것을 알면서도 노출을 시켜줘야 하는 맴을 이해한다마는...
낯뜨겁지 않냐?"
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 10:04:00,긴도깡,재명이든 석열이든 민주홍어엿당은 지리산본부로가던지 거제도포로수용소로 갈운명이다 역사가기렇다 육이오때 남조선공산당 남로당박헌영이 북한으로갔다 홍어족들 고향으로가거라 북으로
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 13:35:00,rhkdxo****,@긴도깡 당신은 어떤어족 입니까?
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 11:12:00,한태민,"@긴도깡 토왜구 다카키 견마와 그 추종 세력인 역적들은..
너네 본국으로 가거라.. 왜국으로"
